TIMESTAMP,SRC,DST,DIRECTION,IP_TOS,DF,MF,IP_TTL,TCP_SPORT,TCP_DPORT,TCP_SEQ,TCP_ACK,TCP_RESERVED,FPA,FA,A,S,SA,PA,R,RA,TCP_WINDOW,TCP_MSS,TCP_NOP,TCP_WSCALE,TYPE
2023-01-06 12:34:49.151378+05:30,13232215248,17231236,0,0,1,0,63,45188,80,4287983129,2986053098,0,0,0,1,0,0,0,0,0,491,,,,0
2023-01-06 12:34:49.151445+05:30,13232215248,17231236,0,0,1,0,63,45188,80,4287983129,2986053098,0,0,0,0,0,0,1,0,0,491,,,,0
2023-01-06 12:34:49.151514+05:30,17231236,13232215248,1,0,1,0,64,80,45188,2986053098,4287983282,0,0,0,1,0,0,0,0,0,489,,,,0
2023-01-06 12:34:49.151580+05:30,17231236,13232215248,1,0,1,0,64,80,45188,2986053098,4287983282,0,0,0,0,0,0,1,0,0,489,,,,0
2023-01-06 12:34:49.151649+05:30,13232215248,17231236,0,0,1,0,63,45188,80,4287983282,2986053115,0,0,0,1,0,0,0,0,0,491,,,,0
2023-01-06 12:34:49.151715+05:30,17231236,13232215248,1,0,1,0,64,80,45188,2986053115,4287983282,0,0,0,0,0,0,1,0,0,489,,,,0
2023-01-06 12:34:49.151785+05:30,13232215248,17231236,0,0,1,0,63,45188,80,4287983282,2986053375,0,0,0,1,0,0,0,0,0,489,,,,0
2023-01-06 12:34:49.151851+05:30,17231236,13232215248,1,0,1,0,64,80,45188,2986053375,4287983282,0,0,0,0,0,0,1,0,0,489,,,,0
2023-01-06 12:34:49.151920+05:30,17231236,13232215248,1,0,1,0,64,80,45188,2986057074,4287983282,0,0,1,0,0,0,0,0,0,489,,,,0
2023-01-06 12:34:49.152631+05:30,13232215248,17231236,0,0,1,0,63,45188,80,4287983282,2986057074,0,0,0,1,0,0,0,0,0,461,,,,0
2023-01-06 12:34:49.152801+05:30,13232215248,17231236,0,0,1,0,63,45188,80,4287983282,2986057075,0,0,1,0,0,0,0,0,0,461,,,,0
2023-01-06 12:34:49.152959+05:30,17231236,13232215248,1,0,1,0,64,80,45188,2986057075,4287983283,0,0,0,1,0,0,0,0,0,489,,,,0
2023-01-06 12:34:49.153030+05:30,132326072,17231236,0,0,1,0,63,58968,80,4206758250,0,0,0,0,0,1,0,0,0,0,62727,1460.0,,7.0,0
2023-01-06 12:34:49.153100+05:30,17231236,132326072,1,0,1,0,64,80,58968,632456053,4206758251,0,0,0,0,0,1,0,0,0,62643,8961.0,,7.0,0
2023-01-06 12:34:49.153171+05:30,132326072,17231236,0,0,1,0,63,58968,80,4206758251,632456054,0,0,0,1,0,0,0,0,0,491,,,,0
2023-01-06 12:34:49.153238+05:30,132326072,17231236,0,0,1,0,63,58968,80,4206758251,632456054,0,0,0,0,0,0,1,0,0,491,,,,0
2023-01-06 12:34:49.153308+05:30,17231236,132326072,1,0,1,0,64,80,58968,632456054,4206758404,0,0,0,1,0,0,0,0,0,489,,,,0
2023-01-06 12:34:49.153388+05:30,17231236,132326072,1,0,1,0,64,80,58968,632456054,4206758404,0,0,0,0,0,0,1,0,0,489,,,,0
2023-01-06 12:34:49.153463+05:30,132326072,17231236,0,0,1,0,63,58968,80,4206758404,632456071,0,0,0,1,0,0,0,0,0,491,,,,0
2023-01-06 12:34:49.153533+05:30,17231236,132326072,1,0,1,0,64,80,58968,632456071,4206758404,0,0,0,0,0,0,1,0,0,489,,,,0
2023-01-06 12:34:49.153604+05:30,132326072,17231236,0,0,1,0,63,58968,80,4206758404,632456330,0,0,0,1,0,0,0,0,0,489,,,,0
2023-01-06 12:34:49.153670+05:30,17231236,132326072,1,0,1,0,64,80,58968,632456330,4206758404,0,0,0,0,0,0,1,0,0,489,,,,0
2023-01-06 12:34:49.153740+05:30,17231236,132326072,1,0,1,0,64,80,58968,632457202,4206758404,0,0,1,0,0,0,0,0,0,489,,,,0
2023-01-06 12:34:49.153806+05:30,132326072,17231236,0,0,1,0,63,58968,80,4206758404,632457202,0,0,0,1,0,0,0,0,0,483,,,,0
2023-01-06 12:34:49.153872+05:30,132326072,17231236,0,0,1,0,63,58968,80,4206758404,632457203,0,0,1,0,0,0,0,0,0,483,,,,0
2023-01-06 12:34:49.153938+05:30,17231236,132326072,1,0,1,0,64,80,58968,632457203,4206758405,0,0,0,1,0,0,0,0,0,489,,,,0
2023-01-06 12:34:49.154004+05:30,13232215248,17231236,0,0,1,0,63,45204,80,4086872837,0,0,0,0,0,1,0,0,0,0,62727,1460.0,,7.0,0
2023-01-06 12:34:49.154072+05:30,17231236,13232215248,1,0,1,0,64,80,45204,488936095,4086872838,0,0,0,0,0,1,0,0,0,62643,8961.0,,7.0,0
2023-01-06 12:34:49.154143+05:30,13232215248,17231236,0,0,1,0,63,45204,80,4086872838,488936096,0,0,0,1,0,0,0,0,0,491,,,,0
2023-01-06 12:34:49.154258+05:30,13232215248,17231236,0,0,1,0,63,45204,80,4086872838,488936096,0,0,0,0,0,0,1,0,0,491,,,,0
2023-01-06 12:34:49.154331+05:30,17231236,13232215248,1,0,1,0,64,80,45204,488936096,4086872991,0,0,0,1,0,0,0,0,0,489,,,,0
2023-01-06 12:34:49.154398+05:30,17231236,13232215248,1,0,1,0,64,80,45204,488936096,4086872991,0,0,0,0,0,0,1,0,0,489,,,,0
2023-01-06 12:34:49.154467+05:30,13232215248,17231236,0,0,1,0,63,45204,80,4086872991,488936113,0,0,0,1,0,0,0,0,0,491,,,,0
2023-01-06 12:34:49.154534+05:30,17231236,13232215248,1,0,1,0,64,80,45204,488936113,4086872991,0,0,0,0,0,0,1,0,0,489,,,,0
2023-01-06 12:34:49.154603+05:30,13232215248,17231236,0,0,1,0,63,45204,80,4086872991,488936373,0,0,0,1,0,0,0,0,0,489,,,,0
2023-01-06 12:34:49.154669+05:30,17231236,13232215248,1,0,1,0,64,80,45204,488936373,4086872991,0,0,0,0,0,0,1,0,0,489,,,,0
2023-01-06 12:34:49.154738+05:30,17231236,13232215248,1,0,1,0,64,80,45204,488940072,4086872991,0,0,1,0,0,0,0,0,0,489,,,,0
2023-01-06 12:34:49.154803+05:30,13232215248,17231236,0,0,1,0,63,45204,80,4086872991,488940072,0,0,0,1,0,0,0,0,0,461,,,,0
2023-01-06 12:34:49.154872+05:30,13232215248,17231236,0,0,1,0,63,45204,80,4086872991,488940073,0,0,1,0,0,0,0,0,0,461,,,,0
2023-01-06 12:34:49.154939+05:30,17231236,13232215248,1,0,1,0,64,80,45204,488940073,4086872992,0,0,0,1,0,0,0,0,0,489,,,,0
2023-01-06 12:34:49.155004+05:30,132326072,17231236,0,0,1,0,63,44564,80,1943764687,0,0,0,0,0,1,0,0,0,0,62727,1460.0,,7.0,0
2023-01-06 12:34:49.155073+05:30,17231236,132326072,1,0,1,0,64,80,44564,396982024,1943764688,0,0,0,0,0,1,0,0,0,62643,8961.0,,7.0,0
2023-01-06 12:34:49.155143+05:30,132326072,17231236,0,0,1,0,63,44564,80,1943764688,396982025,0,0,0,1,0,0,0,0,0,491,,,,0
2023-01-06 12:34:49.155210+05:30,132326072,17231236,0,0,1,0,63,44564,80,1943764688,396982025,0,0,0,0,0,0,1,0,0,491,,,,0
2023-01-06 12:34:49.155280+05:30,17231236,132326072,1,0,1,0,64,80,44564,396982025,1943764841,0,0,0,1,0,0,0,0,0,489,,,,0
2023-01-06 12:34:49.155346+05:30,17231236,132326072,1,0,1,0,64,80,44564,396982025,1943764841,0,0,0,0,0,0,1,0,0,489,,,,0
2023-01-06 12:34:49.155415+05:30,132326072,17231236,0,0,1,0,63,44564,80,1943764841,396982042,0,0,0,1,0,0,0,0,0,491,,,,0
2023-01-06 12:34:49.155481+05:30,17231236,132326072,1,0,1,0,64,80,44564,396982042,1943764841,0,0,0,0,0,0,1,0,0,489,,,,0
2023-01-06 12:34:49.155550+05:30,17231236,132326072,1,0,1,0,64,80,44564,396982302,1943764841,0,0,0,1,0,0,0,0,0,489,,,,0
2023-01-06 12:34:49.155615+05:30,132326072,17231236,0,0,1,0,63,44564,80,1943764841,396982302,0,0,0,1,0,0,0,0,0,489,,,,0
2023-01-06 12:34:49.155680+05:30,17231236,132326072,1,0,1,0,64,80,44564,396983750,1943764841,0,0,0,0,0,0,1,0,0,489,,,,0
2023-01-06 12:34:49.155748+05:30,17231236,132326072,1,0,1,0,64,80,44564,396983922,1943764841,0,0,1,0,0,0,0,0,0,489,,,,0
2023-01-06 12:34:49.155821+05:30,132326072,17231236,0,0,1,0,63,44564,80,1943764841,396983750,0,0,0,1,0,0,0,0,0,478,,,,0
2023-01-06 12:34:49.155887+05:30,132326072,17231236,0,0,1,0,63,44564,80,1943764841,396983922,0,0,0,1,0,0,0,0,0,477,,,,0
2023-01-06 12:34:49.155952+05:30,132326072,17231236,0,0,1,0,63,44564,80,1943764841,396983923,0,0,1,0,0,0,0,0,0,477,,,,0
2023-01-06 12:34:49.156018+05:30,17231236,132326072,1,0,1,0,64,80,44564,396983923,1943764842,0,0,0,1,0,0,0,0,0,489,,,,0
